Handle,Platform,Followers_Approx,Engagement_Rate_Pct,Niche,Tier,K_Beauty_Verified,Contact_Method,Location,Status,First_Contact_Angle,Notes
arale.san,Instagram,29000,15.0,Skincare K-beauty curly hair reviews,Nano,Yes (verified Rovectin Isntree collabs),DM,France,prospect,Crash test toner Isntree,High engagement real K-beauty enthusiast strongest first target
karima_enasri_,Instagram,28600,5.0,Beauty fashion travel,Micro,Partial (verify recent posts),DM,France,prospect,Routine matin reference,Verify K-beauty content in last 10 posts before pitch
chokomag,Instagram,84000,3.0,Skincare K-beauty PhD expert,Micro,Yes (10+ years K-beauty coverage),DM or email,Paris France,prospect,Press inquiry transparency grid expert review,FRENEMY runs Skin Cafeine pitch as press not collab
holyskin.fr,Instagram,16000,4.0,K-beauty retailer France,Retailer,Yes,DM,France,prospect,Cross-promo shoutout swap,Retailer not creator partnership angle only
feelmyskin.fr,Instagram,19000,3.5,K-beauty boutique Paris physical,Retailer,Yes,DM,Paris France,prospect,Cross-promo or networking,Retailer in 14e arrondissement
yoonah.cosmetics,Instagram,40000,3.0,K-beauty retailer France,Retailer,Yes,DM,France,prospect,Networking only,Retailer competitor potentially
skinorea.co,Instagram,23000,4.0,K-beauty retailer France,Retailer,Yes,DM,France,prospect,Networking only,Retailer
koreancosmetics.fr,Instagram,16000,3.5,K-beauty boutique 10 locations Paris,Retailer,Yes,DM,Paris France,prospect,Networking only,Retailer with physical stores
korean.beauty.review,Instagram,unknown,unknown,K-beauty France review,Verify,Yes,DM,France,prospect,Honest review kit offer,Verify follower count and ownership first
bykbeautycosmetics,Instagram,unknown,unknown,K-beauty cosmetics Nice Lyon Cannes,Retailer,Yes,DM,France,prospect,Cross-promo,Multi-city retailer
ksb_koreanshopbeauty,Instagram,unknown,unknown,K-beauty shop Lyon,Retailer,Yes,DM,Lyon France,prospect,Cross-promo,Lyon-based retailer
my_k_beauty_box,Instagram,unknown,unknown,K-beauty subscription box Europe,Retailer,Yes,Engagement only,France,prospect,Engagement only do not pitch,Direct competitor (subscription box) network observe
skincarebylouisoff,TikTok,unknown,unknown,Esthéticien français tests K-beauty 60 jours,Verify,Yes,DM,France,prospect,60 jour avant après honnête,Pro credibility on TikTok where Sonagi will live
cosmobeauty_official,Instagram,unknown,unknown,Beauty France,Verify,Verify,DM,France,prospect,Generic engagement first,Verify alignment before pitch
wijdvne,TikTok,unknown,unknown,French beauty TikToker,Verify,Verify,DM,France,prospect,Verify K-beauty content first,47 percent French audience confirmed
TO_FIND_15,TBD,TBD,TBD,Find via hashtag mining #kbeautyfrance,Nano,TBD,DM,France,prospect,TBD,Method 1 in playbook Section 7C
TO_FIND_16,TBD,TBD,TBD,Find via hashtag mining #routinecoreenne,Nano,TBD,DM,France,prospect,TBD,Method 1 in playbook Section 7C
TO_FIND_17,TBD,TBD,TBD,Find via hashtag mining #skincarefr,Nano,TBD,DM,France,prospect,TBD,Method 1 in playbook Section 7C
TO_FIND_18,TBD,TBD,TBD,Find via Modash free filter France skincare 1k-50k,Nano,TBD,DM,France,prospect,TBD,Method 2 in playbook Section 7C
TO_FIND_19,TBD,TBD,TBD,Find via Modash free filter France skincare 1k-50k,Nano,TBD,DM,France,prospect,TBD,Method 2 in playbook Section 7C
TO_FIND_20,TBD,TBD,TBD,Find via Heepsy free filter France skincare 1k-50k,Nano,TBD,DM,France,prospect,TBD,Method 4 in playbook Section 7C
TO_FIND_21,TBD,TBD,TBD,Find via Heepsy free filter France skincare 1k-50k,Nano,TBD,DM,France,prospect,TBD,Method 4 in playbook Section 7C
TO_FIND_22,TBD,TBD,TBD,Find via @beauty_of_joseon followers scraping,Nano,TBD,DM,France,prospect,TBD,Method 5 in playbook Section 7C
TO_FIND_23,TBD,TBD,TBD,Find via @cosrx_official followers scraping,Nano,TBD,DM,France,prospect,TBD,Method 5 in playbook Section 7C
TO_FIND_24,TBD,TBD,TBD,Find via @anua_official followers scraping,Nano,TBD,DM,France,prospect,TBD,Method 5 in playbook Section 7C
TO_FIND_25,TBD,TBD,TBD,Find via TikTok #kbeauty French language filter,Nano,TBD,DM,France,prospect,TBD,Method 6 in playbook Section 7C
